time,intensity,flood_prediction
12/11/2024 22:42,Low,Low Risk
12/11/2024 22:43,High,Low Risk
12/11/2024 22:44,Low,Low Risk
12/11/2024 22:45,High,Low Risk
12/11/2024 22:46,Low,Low Risk
12/11/2024 23:02,low_intensity,High Risk
12/11/2024 23:03,low_intensity,High Risk
12/11/2024 23:05,low_intensity,High Risk
12/11/2024 23:05,low_intensity,High Risk
12/11/2024 23:07,low_intensity,High Risk
12/11/2024 23:07,low_intensity,High Risk
12/11/2024 23:10,low_intensity,High Risk
12/11/2024 23:11,low_intensity,High Risk
12/11/2024 23:13,low_intensity,High Risk
12/11/2024 23:14,low_intensity,High Risk
12/11/2024 23:16,low_intensity,High Risk
